Job Title,Company Name,Location,Salary,Job Link
Junior Data Scientist,"Amwins Group, Inc.",Remote,,"https://www.glassdoor.com/job-listing/junior-data-scientist-amwins-group-inc-JV_KO0,21_KE22,38.htm?jl=1009890233070"
Data Scientist,Motorola Solutions,"Chicago, IL",$142K - $147K (Employer provided),"https://www.glassdoor.com/job-listing/data-scientist-motorola-solutions-JV_IC1128808_KO0,14_KE15,33.htm?jl=1009878188226"
People Data Scientist - Remote,Baylor Scott & White Health,United States,$47.41 Per Hour (Employer provided),"https://www.glassdoor.com/job-listing/people-data-scientist-remote-baylor-scott-white-health-JV_KO0,28_KE29,54.htm?jl=1009888150365"
"Data Scientist, GivingTuesday",DARO,Remote,$50K - $70K (Employer provided),"https://www.glassdoor.com/job-listing/data-scientist-givingtuesday-daro-JV_KO0,28_KE29,33.htm?jl=1009847346221"
Data Scientist,Parkar Digital,Remote,,"https://www.glassdoor.com/job-listing/data-scientist-parkar-digital-JV_KO0,14_KE15,29.htm?jl=1009874958781"
Data Scientist,Intone Networks,"Chicago, IL",,"https://www.glassdoor.com/job-listing/data-scientist-intone-networks-JV_IC1128808_KO0,14_KE15,30.htm?jl=1009854012740"
Data Scientist – Prachub (Early-stage Startup),Prachub,Remote,$100K - $120K (Employer provided),"https://www.glassdoor.com/job-listing/data-scientist-prachub-early-stage-startup-prachub-JV_KO0,42_KE43,50.htm?jl=1009882868543"
John Snow Labs US-Based Healthcare Data Scientist,John Snow Labs,Remote,,"https://www.glassdoor.com/job-listing/john-snow-labs-us-based-healthcare-data-scientist-john-snow-labs-JV_KO0,49_KE50,64.htm?jl=1009888589184"
Data Scientist,Cordia LLC,Remote,$75K - $105K (Employer provided),"https://www.glassdoor.com/job-listing/data-scientist-cordia-llc-JV_KO0,14_KE15,25.htm?jl=1009877852599"
Data Scientist,AI Square,Remote,,"https://www.glassdoor.com/job-listing/data-scientist-ai-square-JV_KO0,14_KE15,24.htm?jl=1009688753840"
(1237) Data Scientist,Nearsure,Remote,,"https://www.glassdoor.com/job-listing/1237-data-scientist-nearsure-JV_KO0,19_KE20,28.htm?jl=1009888301981"
Data Scientist,"Modern Technology Solutions, Inc","Springfield, VA",$88K - $138K (Glassdoor est.),"https://www.glassdoor.com/job-listing/data-scientist-modern-technology-solutions-inc-JV_IC1130409_KO0,14_KE15,46.htm?jl=1009885147637"
Data Scientist,Houzz,Remote,$120K - $135K (Employer provided),"https://www.glassdoor.com/job-listing/data-scientist-houzz-JV_KO0,14_KE15,20.htm?jl=1009848425705"
Entry Level Data Scientist,Definer Inc,"Minneapolis, MN",$63K - $106K (Glassdoor est.),"https://www.glassdoor.com/job-listing/entry-level-data-scientist-definer-inc-JV_IC1142551_KO0,26_KE27,38.htm?jl=1009505914066"
Data Scientist,"D. Kent Consulting Group, LLC","Bowie, MD",$90K - $105K (Employer provided),"https://www.glassdoor.com/job-listing/data-scientist-d-kent-consulting-group-llc-JV_IC1153819_KO0,14_KE15,42.htm?jl=1009889409675"
Data Scientist,The Amatriot Group,Remote,$115K - $160K (Employer provided),"https://www.glassdoor.com/job-listing/data-scientist-the-amatriot-group-JV_KO0,14_KE15,33.htm?jl=1009884586281"
Data Scientist for Strategic Partnership - CBOT Seat Sublease,Alloyed Enterprises Corp.,Remote,,"https://www.glassdoor.com/job-listing/data-scientist-for-strategic-partnership-cbot-seat-sublease-alloyed-enterprises-corp-JV_KO0,59_KE60,84.htm?jl=1009884936790"
(5) Data Analyst / Data Scientist,TRA'BIAN ENTERPRISES,Remote,,"https://www.glassdoor.com/job-listing/5-data-analyst-data-scientist-tra-bian-enterprises-JV_KO0,29_KE30,50.htm?jl=1009590684131"
Data Scientist,Bottomless,"Seattle, WA",,"https://www.glassdoor.com/job-listing/data-scientist-bottomless-JV_IC1150505_KO0,14_KE15,25.htm?jl=1009890222608"
Staff Data Scientist,Ad Hoc,"Columbia, MD",$160K - $180K (Employer provided),"https://www.glassdoor.com/job-listing/staff-data-scientist-ad-hoc-JV_IC1153546_KO0,20_KE21,27.htm?jl=1009888384510"
