Job Title,Company Name,Location,Salary,Job Link
Data Scientist,lafargeholcim,Settat,,"https://www.glassdoor.com/job-listing/data-scientist-lafargeholcim-JV_IC3940863_KO0,14_KE15,28.htm?jl=1009859557585"
Data scientist/ Analyst,SII GROUP MOROCCO,Morocco,,"https://www.glassdoor.com/job-listing/data-scientist-analyst-sii-group-morocco-JV_KO0,22_KE23,40.htm?jl=1009874240860"
Data Scientist,Yamed Capital,Morocco,,"https://www.glassdoor.com/job-listing/data-scientist-yamed-capital-JV_KO0,14_KE15,28.htm?jl=1009509102164"
Data Scientist & Data Engineer,Segula Technologies,Casablanca,,"https://www.glassdoor.com/job-listing/data-scientist-data-engineer-segula-technologies-JV_IC3935929_KO0,28_KE29,48.htm?jl=1009846771855"
Data Scientist / ML Engineer,Coface,Casablanca,,"https://www.glassdoor.com/job-listing/data-scientist-ml-engineer-coface-JV_IC3935929_KO0,26_KE27,33.htm?jl=1009834625028"
Consultant Data Scientist H/F,Deloitte,Morocco,,"https://www.glassdoor.com/job-listing/consultant-data-scientist-hf-deloitte-JV_KO0,28_KE29,37.htm?jl=1009805343894"
Data scientist,DXC Technology,Morocco,,"https://www.glassdoor.com/job-listing/data-scientist-dxc-technology-JV_KO0,14_KE15,29.htm?jl=1009775203199"
Junior Data Scientist,CIH Bank,Casablanca,,"https://www.glassdoor.com/job-listing/junior-data-scientist-cih-bank-JV_IC3935929_KO0,21_KE22,30.htm?jl=1009386817478"
Data Scientist (REF04),Trusted Advisors,Casablanca,,"https://www.glassdoor.com/job-listing/data-scientist-ref04-trusted-advisors-JV_IC3935929_KO0,20_KE21,37.htm?jl=1007716895968"
Data Scientist,Leyton,Casablanca,,"https://www.glassdoor.com/job-listing/data-scientist-leyton-JV_IC3935929_KO0,14_KE15,21.htm?jl=1009813069478"
Data Analyst / Data Scientist - PFA Internship,AVL Maroc SARL AU,El Jadida,,"https://www.glassdoor.com/job-listing/data-analyst-data-scientist-pfa-internship-avl-maroc-sarl-au-JV_IC3941173_KO0,42_KE43,60.htm?jl=1009769157075"
Analyste Data,Ansamble Assurances Succursale,Rabat,,"https://www.glassdoor.com/job-listing/analyste-data-ansamble-assurances-succursale-JV_IC3941674_KO0,13_KE14,44.htm?jl=1009866099646"
Data Scientist,Admiral,Casablanca,,"https://www.glassdoor.com/job-listing/data-scientist-admiral-JV_IC3935929_KO0,14_KE15,22.htm?jl=1008667992211"
Data Analytics - Senior Data Scientist - Casablanca,Infomineo,Casablanca,,"https://www.glassdoor.com/job-listing/data-analytics-senior-data-scientist-casablanca-infomineo-JV_IC3935929_KO0,47_KE48,57.htm?jl=1009848000276"
Consultant(e) Senior Data Science,Sia,Casablanca,,"https://www.glassdoor.com/job-listing/consultant-e-senior-data-science-sia-JV_IC3935929_KO0,32_KE33,36.htm?jl=1009689018994"
Data Analyst,Attijariwafa Bank,Morocco,,"https://www.glassdoor.com/job-listing/data-analyst-attijariwafa-bank-JV_KO0,12_KE13,30.htm?jl=1009501574059"
Senior Data Scientist,act digital,Casablanca,,"https://www.glassdoor.com/job-listing/senior-data-scientist-act-digital-JV_IC3935929_KO0,21_KE22,33.htm?jl=1009879030991"
Data Science Manager,SWATX,Rabat,,"https://www.glassdoor.com/job-listing/data-science-manager-swatx-JV_IC3941674_KO0,20_KE21,26.htm?jl=1009847276581"
Senior Data Science Manager,SWATX,Rabat,,"https://www.glassdoor.com/job-listing/senior-data-science-manager-swatx-JV_IC3941674_KO0,27_KE28,33.htm?jl=1009848118005"
Data engineer -Apache NIFI,Devoteam Morocco,Casablanca,,"https://www.glassdoor.com/job-listing/data-engineer-apache-nifi-devoteam-morocco-JV_IC3935929_KO0,25_KE26,42.htm?jl=1009415847032"
